ts,hefei,ningbo,wenzhou,wuhan,wuxi
1555,16.66,97.44,9.75,99.51,99.8
1560,16.66,97.44,9.75,99.5,99.8
1565,16.66,97.44,9.75,99.5,99.79
1570,16.66,97.44,9.75,99.5,99.79
1575,16.66,97.44,9.75,99.5,99.79
1580,16.66,97.44,9.75,99.5,99.79
1585,16.66,97.43,9.75,99.5,99.79
1590,16.66,97.43,9.75,99.5,99.79
1595,16.66,97.43,9.75,99.5,99.79
1600,16.66,97.43,9.75,99.5,99.79
1605,16.66,97.43,9.75,99.5,99.79
1610,16.66,97.43,9.75,99.5,99.79
1615,16.66,97.42,9.75,99.5,99.79
1620,16.66,97.42,9.75,99.5,99.79
1625,16.66,97.42,9.75,99.5,99.79
1630,16.66,97.42,9.75,99.49,99.79
1635,16.66,97.42,9.75,99.49,99.79
1640,16.66,97.42,9.75,99.49,99.79
1645,16.66,97.41,9.75,99.49,99.79
1650,16.66,97.41,9.75,99.49,99.79
1655,16.66,97.41,9.75,99.49,99.79
1660,16.66,97.41,9.75,99.49,99.79
1665,16.66,97.41,9.75,99.49,99.79
1670,16.66,97.41,9.75,99.49,99.79
1675,16.66,97.4,9.75,99.49,99.79
1680,16.66,97.4,9.75,99.49,99.79
1685,16.66,97.4,9.75,99.49,99.79
1690,16.66,97.4,9.75,99.49,99.79
1695,16.66,97.4,9.75,99.49,99.79
1700,16.66,97.4,9.75,99.49,99.79
1705,16.66,97.4,9.75,99.49,99.79
1710,16.66,97.39,9.75,99.48,99.79
1715,16.66,97.39,9.75,99.48,99.79
1720,16.66,97.39,9.75,99.48,99.79
1725,16.66,97.39,9.75,99.48,99.79
1730,16.66,97.39,9.75,99.48,99.79
1735,16.66,97.39,9.75,99.48,99.79
1740,16.66,97.39,9.75,99.48,99.79
1745,16.66,97.38,9.75,99.48,99.79
1750,16.66,97.38,9.75,99.48,99.79
1755,16.66,97.38,9.75,99.48,99.79
1760,16.66,97.38,9.75,99.48,99.79
1765,16.66,97.38,9.75,99.48,99.79
1770,16.66,97.38,9.75,99.48,99.79
1775,16.66,97.38,9.75,99.48,99.79
1780,16.66,97.38,9.75,99.48,99.79
1785,16.66,97.37,9.75,99.48,99.79
1790,16.66,97.37,9.75,99.48,99.79
1795,16.66,97.37,9.75,99.48,99.79
1800,17.26,98.26,9.73,99.66,99.71
1805,17.26,98.26,9.73,99.66,99.71
1810,17.26,98.26,9.73,99.66,99.7
1815,17.26,98.26,9.73,99.66,99.7
1820,17.26,98.26,9.73,99.66,99.7
1825,17.26,98.26,9.73,99.66,99.7
1830,17.26,98.26,9.73,99.66,99.7
1835,17.26,98.26,9.73,99.65,99.7
1840,17.26,98.26,9.73,99.65,99.7
1845,17.26,98.26,9.73,99.65,99.7
1850,17.26,98.26,9.73,99.65,99.7
1855,17.26,98.26,9.73,99.65,99.7
1860,17.26,98.25,9.73,99.65,99.7
1865,17.26,98.25,9.73,99.65,99.7
1870,17.26,98.25,9.73,99.65,99.69
1875,17.26,98.25,9.73,99.65,99.69
1880,17.26,98.25,9.73,99.65,99.69
1885,17.26,98.25,9.73,99.65,36.71
1890,17.26,98.25,9.73,99.65,0.86
1895,17.26,98.25,9.73,99.65,0.86
1900,17.26,98.25,9.73,99.65,0.86
1905,17.26,98.25,9.73,99.65,0.86
1910,17.26,98.25,9.73,99.65,0.86
1915,17.26,98.24,9.73,99.65,0.86
1920,17.26,98.24,9.73,99.65,0.86
1925,17.26,98.24,9.73,99.65,0.86
1930,17.26,98.24,9.73,99.65,0.86
1935,17.26,98.24,9.73,99.65,0.86
1940,17.26,98.24,9.73,99.65,0.86
1945,17.26,98.24,9.73,99.65,0.86
1950,17.26,98.24,9.73,99.65,0.86
1955,17.26,98.24,9.73,99.65,0.86
1960,17.26,98.24,9.73,99.65,0.86
1965,17.26,98.24,9.73,99.65,0.86
1970,17.26,98.24,9.73,99.65,0.86
1975,17.26,98.23,9.73,99.65,0.86
1980,17.26,98.23,9.73,99.65,0.86
1985,17.26,98.23,9.73,99.65,0.86
1990,17.26,98.23,9.73,99.65,0.86
1995,17.26,98.23,9.73,99.65,0.86
2000,17.26,98.23,9.73,99.65,0.86
2005,17.26,98.23,9.73,99.65,0.86
2010,17.26,98.23,9.73,99.65,0.86
2015,17.26,98.23,9.73,99.65,0.86
2020,17.26,98.23,9.73,99.65,0.86
2025,17.26,98.23,9.73,99.65,0.86
2030,17.26,98.23,9.73,99.65,0.86
2035,17.26,98.22,9.73,99.65,0.86
2040,17.26,98.22,9.73,99.65,0.86
2045,17.26,98.22,9.73,99.65,0.86
2050,17.26,98.22,9.73,99.65,0.86
2055,17.26,98.22,9.73,99.65,0.86
2060,17.26,98.22,9.73,99.65,0.86
2065,17.26,98.22,9.73,99.65,0.86
2070,17.26,98.22,9.73,99.65,0.86
2075,17.26,98.22,9.73,99.65,0.86
2080,17.26,98.22,9.73,99.65,0.86
2085,17.26,98.22,9.73,99.65,0.86
2090,17.26,98.21,9.73,99.65,0.86
2095,17.26,98.21,9.73,99.65,0.86
2100,17.26,98.21,9.73,99.65,0.86
2105,17.26,98.21,9.73,99.65,0.86
