ts,hefei,ningbo,wuhan,wuxi
1725,9.77,36.64,12.94,2.77
1730,9.77,36.64,12.94,2.77
1735,9.77,36.64,12.94,2.77
1740,9.77,36.64,12.94,2.77
1745,9.77,36.64,12.94,2.77
1750,9.77,36.64,12.94,2.77
1755,9.77,36.64,12.94,2.77
1760,9.77,36.64,12.94,2.77
1765,9.77,36.64,12.94,2.77
1770,9.77,36.64,12.94,2.77
1775,9.77,36.64,12.94,2.77
1780,9.77,36.64,12.94,2.77
1785,9.77,36.64,12.94,2.77
1790,9.77,36.64,12.94,2.77
1795,9.77,36.64,12.94,2.77
1800,9.74,36.17,14.37,2.6
1805,9.74,36.17,14.37,2.6
1810,9.74,36.17,14.37,2.6
1815,9.74,36.17,14.37,2.6
1820,9.74,36.17,14.37,2.6
1825,9.74,36.17,14.37,2.6
1830,9.74,36.17,14.37,2.6
1835,9.74,36.17,14.37,2.6
1840,9.74,36.17,14.37,2.6
1845,9.74,36.17,14.37,2.6
1850,9.74,36.17,14.37,2.6
1855,9.74,36.17,14.37,2.6
1860,9.74,36.17,14.37,2.6
1865,9.74,36.17,14.37,2.6
1870,9.74,36.17,14.37,2.6
1875,9.74,36.17,14.37,2.6
1880,9.74,36.17,14.37,2.6
1885,9.74,36.17,14.37,2.6
1890,9.74,36.17,14.37,2.6
1895,9.74,36.17,14.37,2.6
1900,9.74,36.17,14.37,2.6
1905,9.74,36.17,14.37,2.6
1910,9.74,36.17,14.37,2.6
1915,9.74,36.17,14.37,2.6
1920,9.74,36.17,14.37,2.6
1925,9.74,36.17,14.37,2.6
1930,9.74,36.17,14.37,2.6
1935,9.74,36.17,14.37,2.6
1940,9.74,36.17,14.37,2.6
1945,9.74,36.17,14.37,2.6
1950,9.74,36.17,14.37,2.6
1955,9.74,36.17,14.37,2.6
1960,9.74,36.17,14.37,2.6
1965,9.74,36.17,14.37,2.6
1970,9.74,36.17,14.37,2.6
1975,9.74,36.17,14.37,2.6
1980,9.74,36.17,14.37,2.6
1985,9.74,36.17,14.37,2.6
1990,9.74,36.17,14.37,2.6
1995,9.74,36.17,14.37,2.6
2000,9.74,36.17,14.37,2.6
2005,9.74,36.17,14.37,2.6
2010,9.74,36.17,14.37,2.6
2015,9.74,36.17,14.37,2.6
2020,9.74,36.17,14.37,2.6
2025,9.74,36.17,14.37,2.6
2030,9.74,36.17,14.37,2.6
2035,9.74,36.17,14.37,2.6
2040,9.74,36.17,14.37,2.6
2045,9.74,36.17,14.37,2.6
2050,9.74,36.17,14.37,2.6
2055,9.74,36.17,14.37,2.6
2060,9.74,36.17,14.37,2.6
2065,9.74,36.17,14.37,2.6
2070,9.74,36.17,14.37,2.6
2075,9.74,36.17,14.37,2.6
2080,9.74,36.17,14.37,2.6
2085,9.74,36.17,14.37,2.6
2090,9.74,36.17,14.37,2.6
2095,9.74,36.17,14.37,2.6
2100,9.74,36.17,14.37,2.6
2105,9.74,36.17,14.37,2.6
2110,9.74,36.17,14.37,2.6
2115,9.74,36.17,14.37,2.6
2120,9.74,36.17,14.37,2.6
2125,9.74,36.17,14.37,2.6
2130,9.74,36.17,14.37,2.6
2135,9.74,36.17,14.37,2.6
2140,9.74,36.17,14.37,2.6
2145,9.74,36.17,14.37,2.6
2150,9.74,36.17,14.37,2.6
2155,9.74,36.17,14.37,2.6
2160,9.74,36.17,14.37,2.6
2165,9.74,36.17,14.37,2.6
2170,9.74,36.17,14.37,2.6
2175,9.74,36.17,14.37,2.6
2180,9.74,36.17,14.37,2.6
2185,9.74,36.17,14.37,2.6
2190,9.74,36.17,14.37,2.6
2195,9.74,36.17,14.37,2.6
2200,9.74,36.17,14.37,2.6
2205,9.74,36.17,14.37,2.6
2210,9.74,36.17,14.37,2.6
2215,9.74,36.17,14.37,2.6
2220,9.74,36.17,14.37,2.6
2225,9.74,36.17,14.37,2.6
2230,9.74,36.17,14.37,2.6
2235,9.74,36.17,14.37,2.6
2240,9.74,36.17,14.37,2.6
2245,9.74,36.17,14.37,2.6
2250,9.74,36.17,14.37,2.6
2255,9.74,36.17,14.37,2.6
2260,9.74,36.17,14.37,2.6
2265,9.74,36.17,14.37,2.6
2270,9.74,36.17,14.37,2.6
2275,9.74,36.17,14.37,2.6
2280,9.74,36.17,14.37,2.6
2285,9.74,36.17,14.37,2.6
2290,9.74,36.17,14.37,2.6
2295,9.74,36.17,14.37,2.6
2300,9.74,36.17,14.37,2.6
2305,9.74,36.17,14.37,2.6
2310,9.74,36.17,14.37,2.6
2315,9.74,36.17,14.37,2.6
2320,9.74,36.17,14.37,2.6
2325,9.74,36.17,14.37,2.6
2330,9.74,36.17,14.37,2.6
2335,9.74,36.17,14.37,2.6
2340,9.74,36.17,14.37,2.6
2345,9.74,36.17,14.37,2.6
2350,9.74,36.17,14.37,2.6
2355,9.74,36.17,14.37,2.6
2360,9.74,36.17,14.37,2.6
2365,9.74,36.17,14.37,2.6
2370,9.74,36.17,14.37,2.6
2375,9.74,36.17,14.37,2.6
2380,9.74,36.17,14.37,2.6
2385,9.74,36.17,14.37,2.6
2390,9.74,36.17,14.37,2.6
2395,9.74,36.17,14.37,2.6
2400,9.67,34.98,15.43,2.44
2405,9.67,34.98,15.43,2.44
2410,9.67,34.98,15.43,2.44
2415,9.67,34.98,15.43,2.44
2420,9.67,34.98,15.43,2.44
2425,9.67,34.98,15.43,2.44
2430,9.67,34.98,15.43,2.44
2435,9.67,34.98,15.43,2.44
2440,9.67,34.98,15.43,2.44
2445,9.67,34.98,15.43,2.44
2450,9.67,34.98,15.43,2.44
2455,9.67,34.98,15.43,2.44
2460,9.67,34.98,15.43,2.44
2465,9.67,34.98,15.43,2.44
2470,9.67,34.98,15.43,2.44
2475,9.67,34.98,15.43,2.44
2480,9.67,34.98,15.43,2.44
2485,9.67,34.98,15.43,2.44
2490,9.67,34.98,15.43,2.44
2495,9.67,34.98,15.43,2.44
2500,9.67,34.98,15.43,2.44
2505,9.67,34.98,15.43,2.44
2510,9.67,34.98,15.43,2.44
2515,9.67,34.98,15.43,2.44
2520,9.67,34.98,15.43,2.44
2525,9.67,34.98,15.43,2.44
2530,9.67,34.98,15.43,2.44
2535,9.67,34.98,15.43,2.44
2540,9.67,34.98,15.43,2.44
2545,9.67,34.98,15.43,2.44
