ts,changsha,foshan,fuzhou,guangzhou,guiyang,kunming,nanchang,nanning,xiamen
935,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
940,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
945,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
950,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
955,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
960,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
965,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
970,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
975,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
980,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
985,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
990,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
995,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1000,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1005,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1010,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1015,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1020,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1025,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1030,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1035,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1040,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1045,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1050,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1055,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1060,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1065,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1070,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1075,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1080,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1085,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1090,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1095,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1100,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1105,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1110,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1115,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1120,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1125,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1130,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1135,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1140,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1145,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1150,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1155,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1160,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1165,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1170,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1175,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1180,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1185,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1190,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1195,18.23,0.16,25.47,7.12,26.2,10.52,6.25,18.82,10.03
1200,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1205,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1210,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1215,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1220,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1225,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1230,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1235,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1240,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1245,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1250,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1255,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1260,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1265,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1270,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1275,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1280,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1285,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1290,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1295,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1300,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1305,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1310,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1315,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1320,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1325,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1330,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1335,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1340,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1345,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1350,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1355,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1360,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1365,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1370,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1375,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1380,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1385,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1390,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1395,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1400,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1405,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1410,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1415,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1420,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1425,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1430,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1435,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1440,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1445,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1450,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1455,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1460,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1465,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1470,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
1475,17.7,0.2,29.58,6.59,25.76,9.4,6.55,17.92,10.07
